datahora,country,estado,municipio,bioma,Latitude,Longitude
9/1/20,Brasil,MARANHAO,MIRADOR,Cerrado,-6.42,-44.943
9/1/20,Brasil,MARANHAO,TUNTUM,Cerrado,-6.007,-44.758
9/1/20,Brasil,MARANHAO,PRESIDENTE JUSCELINO,Amazonia,-3.136,-44.02
9/1/20,Brasil,MARANHAO,APICUM-ACU,Amazonia,-1.565,-45.128
9/1/20,Brasil,MARANHAO,NOVA OLINDA DO MARANHAO,Amazonia,-2.929,-45.882
9/1/20,Brasil,TOCANTINS,ITAPORA DO TOCANTINS,Amazonia,-8.626,-48.708
9/1/20,Brasil,MARANHAO,MIRADOR,Cerrado,-6.632,-45.144
9/1/20,Brasil,MARANHAO,FERNANDO FALCAO,Cerrado,-5.956,-44.985
9/1/20,Brasil,MARANHAO,MIRADOR,Cerrado,-6.63,-45.133
9/1/20,Brasil,TOCANTINS,PRESIDENTE KENNEDY,Cerrado,-8.579,-48.438
9/1/20,Brasil,MARANHAO,MIRADOR,Cerrado,-6.612,-45.002
9/1/20,Brasil,MARANHAO,FERNANDO FALCAO,Cerrado,-5.955,-44.975
9/1/20,Brasil,MARANHAO,AXIXA,Amazonia,-2.81,-44.119
9/1/20,Brasil,MARANHAO,MIRADOR,Cerrado,-6.622,-45.001
9/1/20,Brasil,MARANHAO,FERNANDO FALCAO,Cerrado,-5.994,-45.045
9/1/20,Brasil,MARANHAO,MIRADOR,Cerrado,-6.62,-44.99
9/1/20,Brasil,TOCANTINS,PRESIDENTE KENNEDY,Cerrado,-8.563,-48.419
9/1/20,Brasil,MARANHAO,MIRADOR,Cerrado,-6.594,-44.799
9/1/20,Brasil,MARANHAO,CARUTAPERA,Amazonia,-1.286,-46.027
9/1/20,Brasil,MARANHAO,FERNANDO FALCAO,Cerrado,-5.993,-45.034
9/1/20,Brasil,MARANHAO,FERNANDO FALCAO,Cerrado,-6.026,-44.894
9/1/20,Brasil,MARANHAO,SANTA RITA,Amazonia,-3.161,-44.328
9/1/20,Brasil,TOCANTINS,GOIATINS,Cerrado,-8.44,-47.541
9/1/20,Brasil,TOCANTINS,MIRACEMA DO TOCANTINS,Cerrado,-9.735,-48.408
9/1/20,Brasil,TOCANTINS,GOIATINS,Cerrado,-8.31,-47.659
9/1/20,Brasil,MARANHAO,SANTA RITA,Amazonia,-3.109,-44.351
9/1/20,Brasil,MARANHAO,JATOBA,Cerrado,-5.886,-44.164
9/1/20,Brasil,TOCANTINS,GOIATINS,Cerrado,-8.292,-47.519
9/1/20,Brasil,TOCANTINS,GOIATINS,Cerrado,-8.322,-47.378
9/1/20,Brasil,MARANHAO,JATOBA,Cerrado,-5.885,-44.154
9/1/20,Brasil,TOCANTINS,GOIATINS,Cerrado,-8.358,-47.459
9/1/20,Brasil,PARA,ACARA,Amazonia,-2.091,-48.486
9/1/20,Brasil,TOCANTINS,GOIATINS,Cerrado,-8.353,-47.47
9/1/20,Brasil,TOCANTINS,FORMOSO DO ARAGUAIA,Cerrado,-12.02,-49.85
9/1/20,Brasil,TOCANTINS,FORMOSO DO ARAGUAIA,Cerrado,-12.031,-49.844
9/1/20,Brasil,MARANHAO,FORMOSA DA SERRA NEGRA,Cerrado,-6.495,-45.858
9/1/20,Brasil,TOCANTINS,MATEIROS,Cerrado,-10.462,-46.185
9/1/20,Brasil,TOCANTINS,ALMAS,Cerrado,-11.811,-47.425
9/1/20,Brasil,MARANHAO,PINHEIRO,Amazonia,-2.701,-45.224
9/1/20,Brasil,MARANHAO,BARRA DO CORDA,Cerrado,-5.812,-45.192
9/1/20,Brasil,TOCANTINS,ALMAS,Cerrado,-11.824,-47.423
9/1/20,Brasil,TOCANTINS,MATEIROS,Cerrado,-10.46,-46.17
9/1/20,Brasil,MARANHAO,MIRADOR,Cerrado,-6.374,-44.971
9/1/20,Brasil,TOCANTINS,SANTA RITA DO TOCANTINS,Cerrado,-10.949,-49.749
9/1/20,Brasil,TOCANTINS,ALMAS,Cerrado,-11.824,-47.417
9/1/20,Brasil,MARANHAO,PRESIDENTE MEDICI,Amazonia,-2.421,-45.836
9/1/20,Brasil,MARANHAO,MONTES ALTOS,Cerrado,-5.678,-46.955
9/1/20,Brasil,MARANHAO,JENIPAPO DOS VIEIRAS,Cerrado,-5.508,-45.575
9/1/20,Brasil,PARA,CANAA DOS CARAJAS,Amazonia,-6.42,-49.747
9/1/20,Brasil,TOCANTINS,SANTA FE DO ARAGUAIA,Amazonia,-6.879,-49.078
9/1/20,Brasil,MARANHAO,GRAJAU,Cerrado,-5.591,-45.731
9/1/20,Brasil,MARANHAO,GRAJAU,Cerrado,-5.59,-45.72
9/1/20,Brasil,MARANHAO,MIRADOR,Cerrado,-6.233,-44.337
9/1/20,Brasil,MARANHAO,JENIPAPO DOS VIEIRAS,Cerrado,-5.586,-45.697
9/1/20,Brasil,MARANHAO,JENIPAPO DOS VIEIRAS,Cerrado,-5.585,-45.685
9/1/20,Brasil,PARA,CURIONOPOLIS,Amazonia,-6.417,-49.723
9/1/20,Brasil,TOCANTINS,XAMBIOA,Amazonia,-6.813,-48.39
9/1/20,Brasil,MARANHAO,SAO RAIMUNDO DAS MANGABEIRAS,Cerrado,-6.951,-45.929
9/1/20,Brasil,MARANHAO,BALSAS,Cerrado,-8.73,-46.584
9/1/20,Brasil,PARA,IPIXUNA DO PARA,Amazonia,-2.615,-47.502
9/1/20,Brasil,MARANHAO,SAO RAIMUNDO DAS MANGABEIRAS,Cerrado,-6.953,-45.941
9/1/20,Brasil,TOCANTINS,SAO SEBASTIAO DO TOCANTINS,Amazonia,-5.247,-48.274
9/1/20,Brasil,MARANHAO,BALSAS,Cerrado,-8.732,-46.599
9/1/20,Brasil,TOCANTINS,GOIATINS,Cerrado,-8.351,-47.453
9/1/20,Brasil,MARANHAO,JATOBA,Cerrado,-5.919,-44.329
9/1/20,Brasil,TOCANTINS,GOIATINS,Cerrado,-8.377,-47.467
9/1/20,Brasil,TOCANTINS,GOIATINS,Cerrado,-8.375,-47.45
9/1/20,Brasil,MARANHAO,PRESIDENTE JUSCELINO,Amazonia,-3.088,-44.071
9/1/20,Brasil,MARANHAO,JATOBA,Cerrado,-5.896,-44.163
9/1/20,Brasil,TOCANTINS,PRESIDENTE KENNEDY,Cerrado,-8.517,-48.451
9/1/20,Brasil,TOCANTINS,PRESIDENTE KENNEDY,Cerrado,-8.53,-48.449
9/1/20,Brasil,MARANHAO,JATOBA,Cerrado,-5.894,-44.153
9/1/20,Brasil,TOCANTINS,PRESIDENTE KENNEDY,Cerrado,-8.522,-48.389
9/1/20,Brasil,TOCANTINS,ARAGUAINA,Cerrado,-7.344,-48.559
9/1/20,Brasil,MARANHAO,MONTES ALTOS,Cerrado,-5.905,-46.94
9/1/20,Brasil,TOCANTINS,ARAGUAINA,Amazonia,-7.36,-48.681
