datahora,country,estado,municipio,bioma,Latitude,Longitude
8/1/20,Brasil,AMAZONAS,APUI,Amazonia,-6.77,-59.282
8/1/20,Brasil,PARA,ALTAMIRA,Amazonia,-6.864,-55.173
8/1/20,Brasil,AMAZONAS,APUI,Amazonia,-6.865,-59.888
8/1/20,Brasil,PARA,ALTAMIRA,Amazonia,-6.866,-55.183
8/1/20,Brasil,AMAZONAS,APUI,Amazonia,-6.866,-59.316
8/1/20,Brasil,PARA,NOVO PROGRESSO,Amazonia,-6.867,-55.541
8/1/20,Brasil,PARA,ALTAMIRA,Amazonia,-6.867,-55.167
8/1/20,Brasil,AMAZONAS,APUI,Amazonia,-6.867,-59.321
8/1/20,Brasil,AMAZONAS,APUI,Amazonia,-6.868,-59.336
8/1/20,Brasil,PARA,ALTAMIRA,Amazonia,-6.869,-55.177
8/1/20,Brasil,PARA,NOVO PROGRESSO,Amazonia,-6.87,-55.562
8/1/20,Brasil,AMAZONAS,APUI,Amazonia,-6.87,-59.341
8/1/20,Brasil,PARA,NOVO PROGRESSO,Amazonia,-6.871,-55.573
8/1/20,Brasil,PARA,ITAITUBA,Amazonia,-6.872,-56.558
8/1/20,Brasil,PARA,ITAITUBA,Amazonia,-6.874,-56.777
8/1/20,Brasil,AMAZONAS,APUI,Amazonia,-6.872,-59.968
8/1/20,Brasil,PARA,ITAITUBA,Amazonia,-6.874,-56.57
8/1/20,Brasil,AMAZONAS,APUI,Amazonia,-6.874,-59.99
8/1/20,Brasil,PARA,ITAITUBA,Amazonia,-6.875,-56.551
8/1/20,Brasil,PARA,ITAITUBA,Amazonia,-6.876,-56.563
8/1/20,Brasil,AMAZONAS,APUI,Amazonia,-6.877,-59.199
8/1/20,Brasil,AMAZONAS,APUI,Amazonia,-6.877,-60.013
8/1/20,Brasil,AMAZONAS,APUI,Amazonia,-6.877,-59.975
8/1/20,Brasil,AMAZONAS,NOVO ARIPUANA,Amazonia,-6.878,-60.126
8/1/20,Brasil,PARA,NOVO PROGRESSO,Amazonia,-6.879,-55.561
8/1/20,Brasil,AMAZONAS,APUI,Amazonia,-6.88,-59.997
8/1/20,Brasil,PARA,SAO FELIX DO XINGU,Amazonia,-6.881,-52.836
8/1/20,Brasil,PARA,BREU BRANCO,Amazonia,-3.429,-49.251
8/1/20,Brasil,PARA,BREU BRANCO,Amazonia,-3.432,-49.271
